f3_spf3_perturbaciones_cobertura_id_;conglomerado_id_;f3_spf3_perturbaciones_cobertura_tipo_perturbacion;f3_spf3_perturbaciones_cobertura_tipo_perturbacion_code_id_;f3_spf3_perturbaciones_cobertura_severidad_perturbacion;f3_spf3_perturbaciones_cobertura_severidad_perturbacion_code_id;f3_spf3_perturbaciones_cobertura_tipo_cobertura;f3_spf3_perturbaciones_cobertura_tipo_cobertura_code_id_;f3_spf3_perturbaciones_cobertura_porcentaje;observacion;codigo_conglomerado;anio_ejecucion;anioVigencia;codigo_subparcela;ID_CONGLOMERADO_SEQ;ID_BRIG_CONG;ID_SUBPARCELA
37000340;37000001;CA;153;MP;167;RA;223;100;;092531;2016;2016;3;;;
37000346;37000001;EA;156;MP;167;-1;-1;;;092531;2016;2016;3;;;
38000308;38000001;PA;159;FP;166;PA;221;100;Pastizal ganadero;177541;2016;2016;3;;;
39000378;39000001;CA;153;FP;166;AB;214;20;;095821;2016;2016;3;;;
39000384;39000001;CL;154;MP;167;HE;219;20;;095821;2016;2016;3;;;
39000390;39000001;CN;155;MP;167;MA;220;50;;095821;2016;2016;3;;;
39000396;39000001;EA;156;MP;167;RA;223;10;;095821;2016;2016;3;;;
39000402;39000001;PC;160;MP;167;-1;-1;;;095821;2016;2016;3;;;
39000408;39000001;VI;163;MP;167;-1;-1;;;095821;2016;2016;3;;;
39000414;39000001;FU;157;MP;167;-1;-1;;;095821;2016;2016;3;;;
39000420;39000001;PA;159;MP;167;-1;-1;;;095821;2016;2016;3;;;
40000310;40000001;SP;162;FP;166;PN;222;100;Lago;088112;2016;2016;3;;;
41000309;41000001;CA;153;FP;166;PN;222;100;Inundada;180414;2016;2016;3;;;
41000315;41000001;PA;159;FP;166;-1;;;Sin observaciones;180414;2016;2016;3;;;
42000318;42000001;CN;155;MP;167;BT;216;50;;096911;2016;2016;3;;;
42000324;42000001;-1;-1;-1;-1;RA;223;50;;096911;2016;2016;3;;;
43000311;43000001;CA;153;FP;166;RA;223;100;Sin observaciones;185244;2016;2016;3;;;
43000317;43000001;PA;159;FP;166;-1;;;Sin observaciones;185244;2016;2016;3;;;
44000349;44000001;CA;153;MP;167;HE;219;20;;057023;2016;2016;3;;;
44000355;44000001;CL;154;MP;167;MA;220;70;;057023;2016;2016;3;;;
44000361;44000001;EA;156;MP;167;PA;221;10;;057023;2016;2016;3;;;
44000367;44000001;PA;159;MP;167;-1;-1;;;057023;2016;2016;3;;;
44000373;44000001;PC;160;MP;167;-1;-1;;;057023;2016;2016;3;;;
44000379;44000001;VI;163;FP;166;-1;-1;;;057023;2016;2016;3;;;
45000151;45000001;CA;153;MP;167;RA;223;60;no;071511;2016;2016;3;;;
45000157;45000001;VI;163;FP;166;PA;221;40;no;071511;2016;2016;3;;;
46000354;46000001;CA;153;MP;167;CU;218;10;;061922;2016;2016;3;;;
46000360;46000001;EA;156;MP;167;HE;219;10;;061922;2016;2016;3;;;
46000366;46000001;PC;160;MP;167;MA;220;40;;061922;2016;2016;3;;;
46000372;46000001;PE;161;MP;167;PA;221;40;;061922;2016;2016;3;;;
46000378;46000001;VI;163;FP;166;-1;-1;;;061922;2016;2016;3;;;
47000349;47000001;CA;153;FP;166;AB;214;30;;056941;2016;2016;3;;;
47000355;47000001;CL;154;MP;167;HE;219;30;;056941;2016;2016;3;;;
47000361;47000001;EA;156;FP;166;MA;220;30;;056941;2016;2016;3;;;
47000367;47000001;PC;160;MP;167;RA;223;10;;056941;2016;2016;3;;;
47000373;47000001;PE;161;MP;167;-1;-1;;;056941;2016;2016;3;;;
47000379;47000001;VI;163;MP;167;-1;-1;;;056941;2016;2016;3;;;
48000190;48000001;SP;162;NP;168;BT;216;100;no;139512;2016;2016;3;;;
49000270;49000001;CA;153;MP;167;RA;223;100;Sin observaciones;192833;2016;2016;3;;;
50000311;50000001;SP;162;NP;168;BT;216;100;--;163832;2016;2016;3;;;
51000273;51000001;CN;155;MP;167;BT;216;100;;053512;2016;2016;3;;;
52000301;52000001;SP;162;NP;168;VA;;70;;053621;2016;2016;3;;;
52000307;52000001;-1;-1;-1;-1;BI;217;30;;053621;2016;2016;3;;;
53000284;53000001;SP;162;NP;168;BT;216;100;;049214;2016;2016;3;;;
54000399;54000001;EA;156;FP;166;PA;221;90;NA;105221;2016;2016;3;;;
54000405;54000001;FU;157;FP;166;RA;223;10;Adecuación del uso de suelo para pastoreo y agricultura;105221;2016;2016;3;;;
55000398;55000001;CA;153;NP;168;MA;220;20;Si bien no se evidencio perturbación reciente, el tipo de cobertura y el estado sucesional secundario del bosque señala la intervención;109842;2016;2016;3;;;
56000289;56000001;CA;153;FP;166;CU;218;100;;175144;2016;2016;3;;;
56000295;56000001;EA;156;FP;166;CU;218;100;;175144;2016;2016;3;;;
58000312;58000001;FU;157;FP;166;PA;221;50;Sabana;143421;2016;2016;3;;;
58000318;58000001;-1;-1;-1;-1;RA;223;25;;143421;2016;2016;3;;;
58000324;58000001;-1;-1;-1;-1;BT;216;25;;143421;2016;2016;3;;;
60000318;60000001;CA;153;FP;166;RA;223;50;Sin observaciones;194713;2016;2016;3;;;
60000324;60000001;EA;156;FP;166;PA;221;50;Sin observaciones;194713;2016;2016;3;;;
61000334;61000001;SP;162;FP;166;BT;216;90;;120744;2016;2016;3;;;
61000340;61000001;-1;-1;-1;-1;RA;223;10;;120744;2016;2016;3;;;
62000328;62000001;CN;155;MP;167;BT;216;100;Sin observaciones;167113;2016;2016;3;;;
63000329;63000001;CN;155;FP;166;BT;216;80;Sin observaciones;164741;2016;2016;3;;;
63000335;63000001;-1;;-1;;RA;223;20;Sin observaciones;164741;2016;2016;3;;;
64000299;64000001;CN;155;FP;166;BT;216;70;;115923;2016;2016;3;;;
64000305;64000001;-1;-1;-1;-1;RA;223;30;;115923;2016;2016;3;;;
65000344;65000001;CN;155;FP;166;BI;217;100;;124431;2016;2016;3;;;
66000296;66000001;EA;156;MP;167;RA;223;100;Sin observaciones;150032;2016;2016;3;;;
68000248;68000001;CA;153;MP;167;BT;216;100;;193331;2016;2016;3;;;
69000307;69000001;CN;155;MP;167;BT;216;100;;180312;2016;2016;3;;;
69000313;69000001;CA;153;MP;167;-1;;;;180312;2016;2016;3;;;
70000271;70000001;CN;155;MP;167;BT;216;100;Sin observaciones;170034;2016;2016;3;;;
71000364;71000001;CN;155;FP;166;BT;216;70;;115514;2016;2016;3;;;
71000370;71000001;-1;-1;-1;-1;RA;223;30;;115514;2016;2016;3;;;
72000307;72000001;SP;162;NP;168;BT;216;100;;173513;2016;2016;3;;;
73000318;73000001;HV;158;MP;167;PA;221;95;sabana;147923;2016;2016;3;;;
73000324;73000001;PC;160;MP;167;AB;214;;saladillo;147923;2016;2016;3;;;
74000350;74000001;CN;155;MP;167;BT;216;100;;140722;2016;2016;3;;;
74000356;74000001;CA;153;MP;167;-1;-1;;;140722;2016;2016;3;;;
74000362;74000001;EA;156;MP;167;-1;-1;;;140722;2016;2016;3;;;
75000341;75000001;EA;156;MP;167;RA;223;90;;167414;2016;2016;3;;;
75000347;75000001;CN;155;MP;167;BT;216;10;;167414;2016;2016;3;;;
75000353;75000001;CA;153;MP;167;-1;;;;167414;2016;2016;3;;;
76000214;76000001;SP;162;NP;168;BT;216;100;no;047113;2016;2016;3;;;
