f5_coleccion_botanica_id_;conglomerado_id_;codigo_subparcela;tipo_individuo;f5_coleccion_botanica_no_id;nombre_comun;familia_taxonomica;no_familia_en_lista;genero_taxonomico;no_genero_en_lista;especie_taxonomica;no_especie_en_lista;observaciones_individuo;numero_colector;colectada;codigo_parcela;anio_ejecucion;anioVigencia;ID_PPERMANENTE_SEQ;ID_BRIG_CONG
4004243;4000001;1;f;20;;burseraceae;;-1;;-1;;Látex olor agradable;3375;Y;046143;${anio_ejecucion};2016;;
4004276;4000001;1;f;21;;myristicaceae;;virola;;-1;;Exudado hialino escaso, olor leve, envés marrón-blancuzco;3374;Y;046143;${anio_ejecucion};2016;;
4004309;4000001;1;f;22;;fabaceae;;inga;;-1;;;3379;Y;046143;${anio_ejecucion};2016;;
4004342;4000001;1;f;23;Laurel mierda;lauraceae;;-1;;-1;;Corte con olor desagradable;3376;Y;046143;${anio_ejecucion};2016;;
4004375;4000001;1;fg;24;;-1;;-1;;-1;;muerto;;N;046143;${anio_ejecucion};2016;;
4004408;4000001;1;fg;25;palo de agua;myristicaceae;;-1;;-1;;Exudado hialino lechoso, escaso, olor leve.;3377;Y;046143;${anio_ejecucion};2016;;
4004441;4000001;1;fg;26;;-1;;-1;;-1;;muerto;;N;046143;${anio_ejecucion};2016;;
4004474;4000001;1;b;27;;fabaceae;;inga;;-1;;;3399;Y;046143;${anio_ejecucion};2016;;
4004507;4000001;1;b;28;bizcocho;euphorbiaceae;;-1;;-1;;Exudado crema;3397;Y;046143;${anio_ejecucion};2016;;
4004540;4000001;1;b;29;;annonaceae;;-1;;-1;;;3400;Y;046143;${anio_ejecucion};2016;;
4004573;4000001;1;b;30;;moraceae;;-1;;-1;;Exudado hialino;3401;Y;046143;${anio_ejecucion};2016;;
4004606;4000001;1;b;31;;sapotaceae;;-1;;-1;;Exudado crema;3398;Y;046143;${anio_ejecucion};2016;;
4004639;4000001;1;b;32;;lecythidaceae;;-1;;-1;;;3396;Y;046143;${anio_ejecucion};2016;;
4004672;4000001;1;b;33;;indeterminada;;-1;;-1;;Exudado hialino;3395;Y;046143;${anio_ejecucion};2016;;
4004705;4000001;1;b;34;;indeterminada;;-1;;-1;;;3394;Y;046143;${anio_ejecucion};2016;;
4004738;4000001;1;b;35;;annonaceae;;-1;;-1;;;3393;Y;046143;${anio_ejecucion};2016;;
4004771;4000001;1;b;36;;indeterminada;;-1;;-1;;;3392;Y;046143;${anio_ejecucion};2016;;
4004804;4000001;1;b;37;;annonaceae;;-1;;-1;;;3391;Y;046143;${anio_ejecucion};2016;;
4004837;4000001;1;b;38;;mimosaceae;;-1;;-1;;;3389;Y;046143;${anio_ejecucion};2016;;
4004870;4000001;1;b;39;;annonaceae;;-1;;-1;;igual a No. Ind. ID 37;;N;046143;${anio_ejecucion};2016;;
4004903;4000001;1;b;40;;fabaceae;;-1;;-1;;;3388;Y;046143;${anio_ejecucion};2016;;
4004936;4000001;1;b;41;;annonaceae;;-1;;-1;;igual a No. Ind. ID 37;;N;046143;${anio_ejecucion};2016;;
4004969;4000001;1;b;42;;indeterminada;;-1;;-1;;;3387;Y;046143;${anio_ejecucion};2016;;
4005002;4000001;1;b;43;;indeterminada;;-1;;-1;;;3386;Y;046143;${anio_ejecucion};2016;;
4005035;4000001;1;b;44;;indeterminada;;-1;;-1;;;3390;Y;046143;${anio_ejecucion};2016;;
4005068;4000001;1;b;45;;indeterminada;;-1;;-1;;;3385;Y;046143;${anio_ejecucion};2016;;
4005101;4000001;2;l;46;;indeterminada;;-1;;-1;;;3367;Y;046143;${anio_ejecucion};2016;;
4005134;4000001;2;l;47;;burseraceae;;-1;;-1;;Látex escaso, sin olor evidente;3348;Y;046143;${anio_ejecucion};2016;;
